taxa,licen,renda,estr,cons
9,"0,525",3571,1976,541
9,"0,58",3865,1586,561
8,"0,544",4399,431,410
8,"0,451",5319,11868,344
8,"0,529",4447,8577,464
8,"0,53",4391,5939,580
7,"0,574",4817,6930,525
7,"0,608",4332,8159,566
7,"0,572",4206,8508,603
7,"0,724",4716,5915,865
7,"0,663",4593,7834,649
9,"0,511",4897,2449,464
"8,5","0,551",4574,2619,460
8,"0,548",3448,5399,577
8,"0,563",4188,5975,574
7,"0,518",3640,6905,571
8,"0,578",3063,6524,577
8,"0,487",3528,3495,487
5,"0,566",4045,17782,640
"8,5","0,663",3635,3274,648
7,"0,626",4449,4639,587
7,"0,603",4300,3635,632
6,"0,672",5215,2302,782
7,"0,623",4296,4083,610
9,"0,572",4092,1250,524
"7,5","0,529",4870,2351,414
10,"0,571",5342,1333,457
8,"0,553",5126,2138,467
7,"0,552",4512,8507,498
"7,5","0,525",5126,14186,471
7,"0,545",4207,6580,508
7,"0,586",4318,10340,635
7,"0,54",3718,4725,714
"8,5","0,677",4341,6010,640
8,"0,602",4983,602,540
9,"0,517",4258,4686,547
9,"0,544",3721,4746,566
"7,5","0,579",3846,9061,631
9,"0,493",3601,4650,534
7,"0,513",3333,6594,554
"7,5","0,547",3357,4121,628
"6,58","0,629",3802,7834,644
7,"0,586",3897,6385,704
7,"0,672",4345,3905,968
7,"0,563",3656,3985,699
7,"0,508",3745,2611,591
9,"0,571",4476,3942,510
7,"0,593",5002,9794,524
